id;natureza;cod_natureza
1;ESTUPRO;1
2;FURTO A TRANSEUNTE;2
3;ROUBO A TRANSEUNTE;3
4;ROUBO EM COLETIVO;4
5;ROUBO EM COMÉRCIO;5
6;ROUBO EM RESIDÊNCIA;6
7;HOMICÍDIO;7
8;ROUBO DE VEÍCULO;8
9;FURTO DE VEÍCULO;9
10;FURTO EM RESIDÊNCIA;10
11;TRÁFICO DE DROGAS;11
12;ROUBO EM INSTITUIÇÃO FINANCEIRA;12
13;TENTATIVA DE HOMICÍDIO;13
14;LESÃO CORPORAL E ROUBO;14
15;LESÃO CORPORAL E LATROCÍNIO;15
16;LESÃO CORPORAL;16
17;SEQUESTRO E CÁRCERE PRIVADO;17
18;ROUBO SEGUIDO DE MORTE (LATROCÍNIO);18
19;TENTATIVA DE LATROCÍNIO;19
20;FURTO EM COMÉRCIO;20
21;CÓDIGO PENAL MILITAR - LESÃO CORPORAL;21
22;CÓDIGO PENAL MILITAR - LESÃO CORPORAL E ROUBO;22
23;FURTO EM VEÍCULO;23
24;ROUBO OUTROS;24
25;CÓDIGO PENAL MILITAR - HOMICÍDIO;25
26;CÓDIGO PENAL MILITAR - ROUBO;26
27;LATROCÍNIO;27
28;LESÃO CORPORAL SEG. DE MORTE;28
29;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29
30;POSSE/PORTE DE ARMA;30
31;ROUBO EM COMÉRCIO;31
32;USO E PORTE DE DROGAS;32
