id;mes;ano;RegiaoAdministrativa;natureza;quantidade
1;1;2020;ARNIQUEIRA;ESTUPRO;1
2;2;2020;ARNIQUEIRA;ESTUPRO;2
3;3;2020;ARNIQUEIRA;ESTUPRO;0
4;4;2020;ARNIQUEIRA;ESTUPRO;2
5;5;2020;ARNIQUEIRA;ESTUPRO;0
6;6;2020;ARNIQUEIRA;ESTUPRO;0
7;7;2020;ARNIQUEIRA;ESTUPRO;0
8;8;2020;ARNIQUEIRA;ESTUPRO;0
9;9;2020;ARNIQUEIRA;ESTUPRO;1
10;10;2020;ARNIQUEIRA;ESTUPRO;0
11;11;2020;ARNIQUEIRA;ESTUPRO;0
12;12;2020;ARNIQUEIRA;ESTUPRO;0
13;1;2020;ARNIQUEIRA;FURTO A TRANSEUNTE;3
14;2;2020;ARNIQUEIRA;FURTO A TRANSEUNTE;0
15;3;2020;ARNIQUEIRA;FURTO A TRANSEUNTE;0
16;4;2020;ARNIQUEIRA;FURTO A TRANSEUNTE;0
17;5;2020;ARNIQUEIRA;FURTO A TRANSEUNTE;0
18;6;2020;ARNIQUEIRA;FURTO A TRANSEUNTE;0
19;7;2020;ARNIQUEIRA;FURTO A TRANSEUNTE;0
20;8;2020;ARNIQUEIRA;FURTO A TRANSEUNTE;1
21;9;2020;ARNIQUEIRA;FURTO A TRANSEUNTE;0
22;10;2020;ARNIQUEIRA;FURTO A TRANSEUNTE;0
23;11;2020;ARNIQUEIRA;FURTO A TRANSEUNTE;2
24;12;2020;ARNIQUEIRA;FURTO A TRANSEUNTE;2
25;1;2020;ARNIQUEIRA;FURTO EM VEÍCULO;1
26;2;2020;ARNIQUEIRA;FURTO EM VEÍCULO;4
27;3;2020;ARNIQUEIRA;FURTO EM VEÍCULO;6
28;4;2020;ARNIQUEIRA;FURTO EM VEÍCULO;8
29;5;2020;ARNIQUEIRA;FURTO EM VEÍCULO;4
30;6;2020;ARNIQUEIRA;FURTO EM VEÍCULO;8
31;7;2020;ARNIQUEIRA;FURTO EM VEÍCULO;3
32;8;2020;ARNIQUEIRA;FURTO EM VEÍCULO;2
33;9;2020;ARNIQUEIRA;FURTO EM VEÍCULO;7
34;10;2020;ARNIQUEIRA;FURTO EM VEÍCULO;5
35;11;2020;ARNIQUEIRA;FURTO EM VEÍCULO;4
36;12;2020;ARNIQUEIRA;FURTO EM VEÍCULO;2
37;1;2020;ARNIQUEIRA;HOMICÍDIO;0
38;2;2020;ARNIQUEIRA;HOMICÍDIO;1
39;3;2020;ARNIQUEIRA;HOMICÍDIO;1
